soc_code,general_occupation,subtype,occupational_title,estimated_employment_2014,projected_employment_2024,percent_change_2014_2024,annual_average_percent_change,new_jobs,replace_ment_needs,total_jobs,median_hourly,median_annual,entry_level_education,work_experience,on_the_job_training
11_1011,Management Occupations,Top Executives,Chief Executives,43e3,45500,5.8,0.6,250,730,980,NA,NA,Bachelor's degree,More than 5 years,Apprenticeship
11_1021,Management Occupations,Top Executives,General and Operations Managers,268700,310700,15.6,1.6,4200,6800,11e3,51.47,107073,Bachelor's degree,More than 5 years,Apprenticeship
11_1031,Management Occupations,Top Executives,Legislators,3100,3100,0,0,0,70,70,6,56018,Bachelor's degree,Less than 5 years,Apprenticeship
11_2011,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Advertising and Promotions Managers,4100,4700,14.6,1.5,70,130,200,47.97,99787,Bachelor's degree,Less than 5 years,Apprenticeship
11_2021,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Marketing Managers,33300,40600,21.9,2.2,720,790,1510,75.28,156572,Bachelor's degree,More than 5 years,Apprenticeship
11_2022,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Sales Managers,67700,76400,12.9,1.3,870,1600,2470,55.05,114492,Bachelor's degree,Less than 5 years,Apprenticeship
11_2031,Management Occupations,"Advertising, Marketing, Promotions, Public Relations, and Sales Managers",Public Relations and Fundraising Managers,6900,8e3,15.9,1.6,110,240,350,57.7,119998,Bachelor's degree,More than 5 years,Apprenticeship
11_3011,Management Occupations,Operations Specialties Managers,Administrative Services Managers,41300,47600,15.3,1.5,640,770,1410,45.349999999999994,94332,Bachelor's degree,Less than 5 years,Apprenticeship
11_3021,Management Occupations,Operations Specialties Managers,Computer and Information Systems Managers,50100,65300,30.3,3,1530,590,2120,75.67999999999999,157401,Bachelor's degree,More than 5 years,Apprenticeship
11_3031,Management Occupations,Operations Specialties Managers,Financial Managers,74800,84500,13,1.3,970,1770,2740,63.730000000000004,132575,Bachelor's degree,More than 5 years,Apprenticeship
11_3051,Management Occupations,Operations Specialties Managers,Industrial Production Managers,19600,20400,4.1,0.4,90,560,640,47.68,99163,Bachelor's degree,More than 5 years,Apprenticeship
11_3061,Management Occupations,Operations Specialties Managers,Purchasing Managers,8600,9500,10.5,1,90,200,290,54.61,113582,Bachelor's degree,More than 5 years,Apprenticeship
11_3071,Management Occupations,Operations Specialties Managers,"Transportation, Storage, and Distribution Managers",15100,17200,13.9,1.4,210,330,540,43.230000000000004,89911,High school diploma or equivalent,More than 5 years,Apprenticeship
11_3111,Management Occupations,Operations Specialties Managers,Compensation and Benefits Managers,1600,1900,18.8,1.9,20,50,70,63.43,131930,Bachelor's degree,More than 5 years,Apprenticeship
11_3121,Management Occupations,Operations Specialties Managers,Human Resources Managers,15800,18600,17.7,1.8,280,460,740,58.98,122659,Bachelor's degree,More than 5 years,Apprenticeship
11_3131,Management Occupations,Operations Specialties Managers,Training and Development Managers,3200,3800,18.8,1.9,60,90,150,58.24,121134,Bachelor's degree,More than 5 years,Apprenticeship
11_9013,Management Occupations,Other Management Occupations,"Farmers, Ranchers, and Other Agricultural Managers",107800,129e3,19.7,2,2120,1840,3960,34.75,72289,High school diploma or equivalent,More than 5 years,Apprenticeship
11_9021,Management Occupations,Other Management Occupations,Construction Managers,46900,55900,19.2,1.9,900,660,1550,47.9,99644,Bachelor's degree,No experience necessary,Moderate-term on-the-job-training
11_9031,Management Occupations,Other Management Occupations,"Education Administrators, Preschool and Childcare Center/Program",8800,9500,8,0.8,70,260,330,25.37,52764,Bachelor's degree,Less than 5 years,Apprenticeship
11_9032,Management Occupations,Other Management Occupations,"Education Administrators, Elementary and Secondary School",19800,21700,9.6,1,190,580,760,6,113449,Master's degree,More than 5 years,Apprenticeship
11_9033,Management Occupations,Other Management Occupations,"Education Administrators, Postsecondary",17400,20400,17.2,1.7,310,510,810,50.690000000000005,105436,Master's degree,Less than 5 years,Apprenticeship
11_9039,Management Occupations,Other Management Occupations,"Education Administrators, All Other",4800,5600,16.7,1.7,90,140,230,44.43,92419,Bachelor's degree,Less than 5 years,Apprenticeship
11_9041,Management Occupations,Other Management Occupations,Architectural and Engineering Managers,30300,33400,10.2,1,310,930,1240,76.58,159284,Bachelor's degree,More than 5 years,Apprenticeship
11_9051,Management Occupations,Other Management Occupations,Food Service Managers,52800,65700,24.4,2.4,1290,1060,2350,22.52,46849,High school diploma or equivalent,Less than 5 years,Apprenticeship
11_9061,Management Occupations,Other Management Occupations,Funeral Service Managers,1900,2e3,5.3,0.5,10,40,50,29.32,60992,Associate's degree,Less than 5 years,Apprenticeship
11_9081,Management Occupations,Other Management Occupations,Lodging Managers,6700,7200,7.5,0.7,50,130,180,26.479999999999997,55097,High school diploma or equivalent,Less than 5 years,Apprenticeship
11_9111,Management Occupations,Other Management Occupations,Medical and Health Services Managers,31e3,37200,20,2,620,780,1400,57.89,120407,Bachelor's degree,Less than 5 years,Apprenticeship
11_9121,Management Occupations,Other Management Occupations,Natural Sciences Managers,8700,10500,20.7,2.1,180,180,360,70.86,147373,Bachelor's degree,More than 5 years,Apprenticeship
11_9141,Management Occupations,Other Management Occupations,"Property, Real Estate, and Community Association Managers",48500,54700,12.8,1.3,620,840,1460,29.610000000000003,61585,High school diploma or equivalent,Less than 5 years,Apprenticeship
11_9151,Management Occupations,Other Management Occupations,Social and Community Service Managers,16100,19e3,18,1.8,290,430,720,32.97,68585,Bachelor's degree,More than 5 years,Apprenticeship
11_9199,Management Occupations,Other Management Occupations,"Managers, All Other",100500,113600,13,1.3,1310,2220,3530,60.06,124930,Bachelor's degree,Less than 5 years,Apprenticeship
13_1011,Business and Financial Operations Occupations,Business Operations Specialists,"Agents and Business Managers of Artists, Performers, and Athletes",7500,9900,32,3.2,230,240,480,36.449999999999996,75820,Bachelor's degree,Less than 5 years,Apprenticeship
13_1021,Business and Financial Operations Occupations,Business Operations Specialists,"Buyers and Purchasing Agents, Farm Products",1800,2100,16.7,1.7,30,40,60,31.02,64522,Bachelor's degree,No experience necessary,Long-term on-the-job-training
13_1022,Business and Financial Operations Occupations,Business Operations Specialists,"Wholesale and Retail Buyers, Except Farm Products",19300,21700,12.4,1.2,240,610,850,25.759999999999998,53572,Bachelor's degree,No experience necessary,Long-term on-the-job-training
13_1023,Business and Financial Operations Occupations,Business Operations Specialists,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",33700,36800,9.2,0.9,310,930,1240,33.41,69506,Bachelor's degree,No experience necessary,Long-term on-the-job-training
13_1031,Business and Financial Operations Occupations,Business Operations Specialists,"Claims Adjusters, Examiners, and Investigators",28900,30400,5.2,0.5,150,720,870,33.91,70550,High school diploma or equivalent,No experience necessary,Long-term on-the-job-training
13_1032,Business and Financial Operations Occupations,Business Operations Specialists,"Insurance Appraisers, Auto Damage",1800,1500,-16.7,-1.7,0,40,40,32.06,66681,Postsecondary non-degree award,No experience necessary,Moderate-term on-the-job-training
13_1041,Business and Financial Operations Occupations,Business Operations Specialists,Compliance Officers,32500,35800,10.2,1,330,460,790,37.349999999999994,77693,Bachelor's degree,No experience necessary,Moderate-term on-the-job-training
13_1051,Business and Financial Operations Occupations,Business Operations Specialists,Cost Estimators,25600,31700,23.8,2.4,620,730,1340,31.97,66497,Bachelor's degree,No experience necessary,Apprenticeship
13_1071,Business and Financial Operations Occupations,Business Operations Specialists,Human Resources Specialists,54400,62100,14.2,1.4,770,1330,2090,33.2,69045,Bachelor's degree,No experience necessary,Apprenticeship
13_1075,Business and Financial Operations Occupations,Business Operations Specialists,Labor Relations Specialists,8800,8700,-1.1,-0.1,0,220,220,39.839999999999996,82871,Bachelor's degree,Less than 5 years,Apprenticeship
13_1081,Business and Financial Operations Occupations,Business Operations Specialists,Logisticians,15300,17800,16.3,1.6,250,210,460,41.09,85460,Bachelor's degree,No experience necessary,Apprenticeship
13_1111,Business and Financial Operations Occupations,Business Operations Specialists,Management Analysts,119e3,146900,23.4,2.3,2790,1650,4440,41.18,85644,Bachelor's degree,Less than 5 years,Apprenticeship
13_1121,Business and Financial Operations Occupations,Business Operations Specialists,"Meeting, Convention, and Event Planners",12400,14500,16.9,1.7,210,150,360,25.12,52262,Bachelor's degree,No experience necessary,Apprenticeship
13_1131,Business and Financial Operations Occupations,Business Operations Specialists,Fundraisers,6800,7800,14.7,1.5,100,100,190,28.95,60214,Bachelor's degree,No experience necessary,Apprenticeship
13_1141,Business and Financial Operations Occupations,Business Operations Specialists,"Compensation, Benefits, and Job Analysis Specialists",10500,11900,13.3,1.3,130,260,390,33.4,69475,Bachelor's degree,Less than 5 years,Apprenticeship
